City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,84.2,light rain,5.4112,100.3354,Cititel Penang
1,Mauriti,BR,94.19,broken clouds,-7.3892,-38.7744,Hotel Pedra da Letra
2,Humaita,BR,92.91,broken clouds,-7.5061,-63.0208,Corrêa Hotel
3,Bethel,US,55.4,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
5,Parabel,RU,35.06,overcast clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
6,Rikitea,PF,77.94,scattered clouds,-23.1203,-134.9692,Pension Maro'i
7,Punta Arenas,CL,46.4,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
8,Mataura,NZ,48.99,clear sky,-46.1927,168.8643,Ellie's Villa
9,Sao Filipe,CV,77.76,few clouds,14.8961,-24.4956,Tortuga B&B
12,Sur,OM,82.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
14,Karaton,ID,82.99,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
15,Nanortalik,GL,38.25,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
17,Hobart,AU,52.0,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
19,Geraldton,AU,64.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
20,New Norfolk,AU,52.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
23,Bengkulu,ID,75.99,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Bluff,NZ,48.99,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
25,Jamestown,US,57.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Busselton,AU,60.01,clear sky,-33.65,115.3333,Observatory Guest House
27,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
28,Port Alfred,ZA,64.83,overcast clouds,-33.5906,26.891,The Halyards Hotel
29,Oranjestad,AW,84.2,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
32,Folldal,NO,24.08,snow,62.1325,9.9968,Løkken Fjellgård
33,Lashio,MM,64.29,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
34,Vardo,NO,33.8,sleet,70.3705,31.1107,Vardø Hotel AS
35,Hobyo,SO,82.89,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
36,Butaritari,KI,81.18,moderate rain,3.0707,172.7902,Isles Sunset Lodge
37,Nikolskoye,RU,46.99,scattered clouds,59.7035,30.7861,Tourist House - Sablino
38,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,East London,ZA,64.4,light rain,-33.0153,27.9116,Tu Casa
40,Akyab,MM,80.49,clear sky,20.15,92.9,Hotel Memory
41,Sovetskiy,RU,31.86,light snow,61.3614,63.5842,Apartment on Kievskaya 29
42,Pisco,PE,73.99,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
44,Roald,NO,39.2,broken clouds,62.5833,6.1333,Flem Cabins
45,Ryotsu,JP,44.47,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
46,Pangody,RU,32.38,light snow,65.85,74.4859,Elizaveta Shevchuk's House
48,Asau,RO,48.99,light rain,46.4333,26.4,Casa Mika Ciobanus
49,Tasiilaq,GL,21.2,broken clouds,65.6145,-37.6368,The Red House
50,Rio Grande,BR,79.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
51,Ponta Do Sol,PT,62.01,overcast clouds,32.6667,-17.1,Hotel do Campo
