,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Georgetown,MY,2021-04-05 15:39:47,5.4112,100.3354,84.2,78,40,4.61,light rain,0.0,0
1,Mauriti,BR,2021-04-05 15:44:23,-7.3892,-38.7744,94.19,30,73,7.43,broken clouds,0.0,0
2,Humaita,BR,2021-04-05 15:44:23,-7.5061,-63.0208,92.91,47,77,2.59,broken clouds,0.0,0
3,Bethel,US,2021-04-05 15:44:24,41.3712,-73.414,55.4,33,1,16.11,clear sky,0.0,0
4,Barrow,US,2021-04-05 15:44:24,71.2906,-156.7887,-7.6,71,40,4.61,scattered clouds,0.0,0
5,Parabel,RU,2021-04-05 15:44:25,58.6978,81.4825,35.06,89,100,11.77,overcast clouds,0.0,0
6,Rikitea,PF,2021-04-05 15:44:25,-23.1203,-134.9692,77.94,63,48,8.55,scattered clouds,0.0,0
7,Punta Arenas,CL,2021-04-05 15:44:25,-53.15,-70.9167,46.4,57,40,3.44,scattered clouds,0.0,0
8,Mataura,NZ,2021-04-05 15:44:25,-46.1927,168.8643,48.99,74,5,5.01,clear sky,0.0,0
9,Sao Filipe,CV,2021-04-05 15:44:26,14.8961,-24.4956,77.76,59,11,10.2,few clouds,0.0,0
10,Pevek,RU,2021-04-05 15:44:26,69.7008,170.3133,-19.12,100,99,3.58,overcast clouds,0.0,0
11,Khatanga,RU,2021-04-05 15:43:26,71.9667,102.5,5.16,84,74,10.45,broken clouds,0.0,0
12,Sur,OM,2021-04-05 15:44:26,22.5667,59.5289,82.74,60,6,3.22,clear sky,0.0,0
13,Tiksi,RU,2021-04-05 15:44:27,71.6872,128.8694,-19.41,99,45,4.14,scattered clouds,0.0,0
14,Karaton,ID,2021-04-05 15:44:27,-6.3424,106.1045,82.99,78,20,8.05,few clouds,0.0,0
15,Nanortalik,GL,2021-04-05 15:44:28,60.1432,-45.2371,38.25,87,100,6.76,overcast clouds,0.0,0
16,Clyde River,CA,2021-04-05 15:41:08,70.4692,-68.5914,-4.0,71,40,14.97,scattered clouds,0.0,0
17,Hobart,AU,2021-04-05 15:43:31,-42.8794,147.3294,52.0,87,0,5.75,clear sky,0.0,0
18,Anadyr,RU,2021-04-05 15:44:28,64.75,177.4833,1.4,66,0,4.47,clear sky,0.0,0
19,Geraldton,AU,2021-04-05 15:44:28,-28.7667,114.6,64.4,88,75,4.61,broken clouds,0.0,0
20,New Norfolk,AU,2021-04-05 15:44:29,-42.7826,147.0587,52.0,70,0,3.29,clear sky,0.0,0
21,Vilyuysk,RU,2021-04-05 15:44:29,63.7553,121.6247,-1.77,98,100,3.49,overcast clouds,0.0,0
22,Tuktoyaktuk,CA,2021-04-05 15:44:30,69.4541,-133.0374,-5.8,84,90,25.32,snow,0.0,0
23,Bengkulu,ID,2021-04-05 15:44:30,-3.8004,102.2655,75.99,89,89,4.83,overcast clouds,0.0,0
