City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Long Xuyen,VN,2021-04-02 17:37:56,10.3833,105.4167,82.4,89,20,2.3
1,Kaitangata,NZ,2021-04-02 17:37:56,-46.2817,169.8464,40.86,91,44,5.5
2,Rikitea,PF,2021-04-02 17:37:57,-23.1203,-134.9692,76.73,79,93,11.39
3,Skjervoy,NO,2021-04-02 17:37:57,70.0311,20.9714,36.75,96,100,32.57
4,Port Alfred,ZA,2021-04-02 17:37:57,-33.5906,26.891,63.05,80,100,14.97
5,Ostrovnoy,RU,2021-04-02 17:37:57,68.0531,39.5131,21.09,95,97,2.59
6,Mahebourg,MU,2021-04-02 17:37:58,-20.4081,57.7,78.8,94,40,5.75
7,Cape Town,ZA,2021-04-02 17:37:58,-33.9258,18.4232,66.99,63,0,6.91
8,Lira,UG,2021-04-02 17:37:58,2.235,32.9097,71.56,70,100,4.54
9,Puerto Ayora,EC,2021-04-02 17:37:59,-0.7393,-90.3518,82.4,78,20,6.91
10,Borskoye,RU,2021-04-02 17:37:59,53.0333,51.7167,33.28,93,34,12.93
11,Castro,BR,2021-04-02 17:37:59,-24.7911,-50.0119,72.73,46,19,1.7
12,Hilo,US,2021-04-02 17:38:00,19.7297,-155.09,66.99,82,1,6.91
13,Hobart,AU,2021-04-02 17:38:00,-42.8794,147.3294,62.6,67,17,17.27
14,Los Llanos De Aridane,ES,2021-04-02 17:38:00,28.6585,-17.9182,68.0,68,40,12.66
15,Tomatlan,MX,2021-04-02 17:38:01,19.9333,-105.25,95.14,26,20,9.71
16,Arraial Do Cabo,BR,2021-04-02 17:34:14,-22.9661,-42.0278,82.4,65,20,19.57
17,Ushuaia,AR,2021-04-02 17:38:01,-54.8,-68.3,50.0,71,20,17.27
18,Busselton,AU,2021-04-02 17:38:02,-33.65,115.3333,62.01,84,98,1.99
19,Merauke,ID,2021-04-02 17:38:02,-8.4667,140.3333,76.23,92,99,5.77
20,Port Elizabeth,ZA,2021-04-02 17:38:03,-33.918,25.5701,62.6,77,0,12.66
21,Tynda,RU,2021-04-02 17:37:11,55.1667,124.7167,8.8,70,74,11.61
22,Butaritari,KI,2021-04-02 17:38:03,3.0707,172.7902,81.07,81,25,17.29
23,Albany,US,2021-04-02 17:38:04,42.6001,-73.9662,33.01,38,100,1.01
24,Demba,CD,2021-04-02 17:38:04,-5.51,22.2667,73.29,87,82,1.43
25,Hamilton,US,2021-04-02 17:34:29,39.1834,-84.5333,45.0,33,1,4.88
26,San Jose,US,2021-04-02 17:35:00,37.3394,-121.895,63.0,48,20,3.44
27,Porto San Giorgio,IT,2021-04-02 17:38:05,43.1827,13.7934,68.0,37,15,5.75
28,Alofi,NU,2021-04-02 17:38:06,-19.0595,-169.9187,69.8,100,18,2.3
29,Kapaa,US,2021-04-02 17:38:06,22.0752,-159.319,73.4,73,75,12.66
30,Port Lavaca,US,2021-04-02 17:38:06,28.615,-96.6261,69.8,37,1,14.97
31,Hermanus,ZA,2021-04-02 17:38:07,-34.4187,19.2345,63.0,72,75,1.99
32,Vaini,TO,2021-04-02 17:38:07,-21.2,-175.2,73.4,100,75,6.69
33,Yerbogachen,RU,2021-04-02 17:38:07,61.2767,108.0108,9.36,95,100,6.91
34,Ponta Do Sol,PT,2021-04-02 17:38:08,32.6667,-17.1,66.2,63,20,10.36
35,Saskylakh,RU,2021-04-02 17:38:08,71.9167,114.0833,-37.93,100,50,3.27
36,Noumea,NC,2021-04-02 17:38:08,-22.2763,166.4572,78.01,100,75,4.61
37,Punta Arenas,CL,2021-04-02 17:34:57,-53.15,-70.9167,50.0,62,0,14.97
38,Tuatapere,NZ,2021-04-02 17:38:09,-46.1333,167.6833,46.99,85,46,4.0
39,Monte Aprazivel,BR,2021-04-02 17:38:05,-20.7725,-49.7142,84.2,28,20,4.61
40,Avera,US,2021-04-02 17:38:09,33.194,-82.5271,52.0,29,1,11.5
41,Victoria,HK,2021-04-02 17:33:48,22.2855,114.1577,79.0,83,2,3.24
42,Elizabeth City,US,2021-04-02 17:38:10,36.2946,-76.2511,42.8,42,75,13.8
43,Corinto,GR,2021-04-02 17:38:10,37.9407,22.9573,62.01,50,80,3.0
44,Thompson,CA,2021-04-02 17:38:11,55.7435,-97.8558,44.6,53,20,11.5
45,Coquimbo,CL,2021-04-02 17:38:11,-29.9533,-71.3436,62.6,72,20,14.97
46,Westport,US,2021-04-02 17:38:11,41.1415,-73.3579,35.01,37,90,12.66
47,Pisco,PE,2021-04-02 17:38:12,-13.7,-76.2167,77.0,64,0,9.22
48,Codrington,AU,2021-04-02 17:38:12,-38.2667,141.9667,64.89,41,0,10.89
49,Deputatskiy,RU,2021-04-02 17:38:12,69.3,139.9,-13.72,99,100,0.4
50,Hofn,IS,2021-04-02 17:38:13,64.2539,-15.2082,46.31,71,23,9.55
51,Chuy,UY,2021-04-02 17:38:13,-33.6971,-53.4616,73.02,54,53,9.75
52,Mar Del Plata,AR,2021-04-02 17:38:13,-38.0023,-57.5575,68.0,77,75,14.97
53,Jackson,US,2021-04-02 17:38:06,42.4165,-122.8345,57.0,50,1,1.92
54,Oda,JP,2021-04-02 17:38:14,35.1833,132.5,55.29,85,9,7.83
55,Naze,JP,2021-04-02 17:36:33,28.3667,129.4833,66.78,94,100,15.39
56,San Juan,AR,2021-04-02 17:38:14,-31.5375,-68.5364,83.43,30,5,8.63
57,Mataura,NZ,2021-04-02 17:38:14,-46.1927,168.8643,46.99,85,57,4.0
58,Atuona,PF,2021-04-02 17:38:15,-9.8,-139.0333,80.96,79,78,14.92
59,Narsaq,GL,2021-04-02 17:38:15,60.9167,-46.05,41.0,65,75,3.44
60,Labuhan,ID,2021-04-02 17:38:15,-6.8844,112.2051,79.52,84,39,5.35
61,Richards Bay,ZA,2021-04-02 17:35:23,-28.783,32.0377,75.63,75,33,11.18
62,Ambunti,PG,2021-04-02 17:38:16,-4.2365,142.8448,73.2,98,100,0.74
63,Phan Thiet,VN,2021-04-02 17:38:16,10.9333,108.1,76.69,88,50,3.22
64,Nara,JP,2021-04-02 17:38:17,34.6851,135.8049,60.01,68,9,6.73
65,Nemuro,JP,2021-04-02 17:38:17,43.3236,145.575,37.31,85,94,15.68
66,Grindavik,IS,2021-04-02 17:38:17,63.8424,-22.4338,41.0,87,90,12.66
67,Guapiles,CR,2021-04-02 17:38:18,10.2159,-83.7866,80.6,53,40,25.32
68,Iqaluit,CA,2021-04-02 17:38:18,63.7506,-68.5145,-9.0,64,20,2.3
69,Ulu-Telyak,RU,2021-04-02 17:38:19,54.9086,56.9669,31.95,84,76,7.05
